ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{built-in method psutil._psutil_osx.proc_kinfo_oneshot}
1,0.000,0.000,0.000,0.000,{method '__exit__' of '_io._IOBase' objects}
2,0.000,0.000,0.000,0.000,{built-in method builtins.print}
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/experiments.py:65(datastructures)
20,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/tree_traverse.py:27(insert)
30/3,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/tree_traverse.py:84(traverse)
1,0.000,0.000,0.000,0.000,{built-in method _pickle.dump}
2,0.000,0.000,0.000,0.000,{built-in method psutil._psutil_osx.proc_pidtaskinfo_oneshot}
9,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/merge_sort.py:21(merge)
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/selection_sort.py:12(selection_sort)
19/1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/merge_sort.py:44(merge_sort)
10,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/DataStructures/HashTable/HashTable.py:25(__hash)
2,0.000,0.000,0.000,0.000,/Users/zachwolpe/miniforge3/envs/CDB/lib/python3.9/site-packages/psutil/__init__.py:328(_init)
1,0.000,0.000,0.000,0.000,{built-in method builtins.dir}
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/experiments.py:81(<listcomp>)
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/bubble_sort.py:12(bubble_sort)
176,0.000,0.000,0.000,0.000,{built-in method builtins.len}
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/Profiler/pyModules/profiler.py:120(profiler)
6/4,0.000,0.000,0.000,0.000,/Users/zachwolpe/miniforge3/envs/CDB/lib/python3.9/site-packages/psutil/_common.py:443(wrapper)
10,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/DataStructures/HashTable/HashTable.py:36(set_item)
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/tree_traverse.py:67(BFS)
1,0.000,0.000,0.000,0.000,{built-in method time.strftime}
2,0.000,0.000,0.000,0.000,/Users/zachwolpe/miniforge3/envs/CDB/lib/python3.9/site-packages/psutil/_psosx.py:401(_get_pidtaskinfo)
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/experiments.py:44(sorting_algorithms)


